"id","profileName","text","date","title","rating","images","helpful","Colour","Size","Style Name","Pattern Name"
"R2ZLR4MKQUQ1TI","Sambuddha Chatterjee","Worth every penny and you will never regret although I bought it on emi & paying extra 6000 rupees. It'll never disappoint you until you damage it.","Reviewed in India on 4 May 2023","Excellent",5,"",1,,,,
"R2HLXXIDQ4JKBW","S.S.R"," I got this product during summer sale only @23900 and what an amazing Tablet in this prize range.Battery backup is amazingScreen is super smoothProcessor is 100% better than AndroidThis is my first Apple product and I must say ios has some great features than Android.Just buy it instead of Samsung and other basic Android tabs","Reviewed in India on 9 May 2023","Love Ipad",5,"","8",,,,
"R12NX4UIJ3UR4V","D Tube ","Best tablet in market","Reviewed in India on 5 June 2023","Always awesome",5,"",0,,,,
"R3APNWHFWKX7I3","Rahul kumar","This is my first apple product honesty extraordinary......best one in tabletsI got for 23600/- with card offer on summer saleIf u are going for tablets u must try this one....","Reviewed in India on 7 May 2023","Apple is apple...",5,"https://m.media-amazon.com/images/I/71OozmxWZ3L.jpg","4","Silver","64GB","WiFi","iPad"
"R2I4C794IUD9PC","Sunil Mangar","No complaints, powerful ipad","Reviewed in India on 30 May 2023","Fantastic",5,"",0,,,,
"R1B72VNOU7B2DP","Sachin R."," - best tablet to buy if budget is 30k- battery backup is excellent almost 2 days with normal usage- no extra heating while playing hard games- smooth ram management- i find no lagging of any sortCons -Freedom to use moded appsI am using stylus case upencil not the original one but it also works great and only 1700","Reviewed in India on 22 April 2023","2 weeks heavy use review",5,"","4",,,,
"RSEP37MZOIY5Y","Surendar T.","Excellent product 👌👌🙌✨Loved it","Reviewed in India on 27 May 2023","Excellent product😍",5,"",1,"Silver","64GB","WiFi","iPad"
"R2WXUSNA2OZ6M6","Placeholder","Very amazing and smooth....all the apps r present and works perfectly fine except ms office for which u will need subscription...audio video quality is too awesome😍must buy","Reviewed in India on 6 May 2023","Must buy",5,"https://m.media-amazon.com/images/I/6188u2IBOYL.jpg
https://m.media-amazon.com/images/I/61r43plvepL.jpg
https://m.media-amazon.com/images/I/61uRvi9x5uL.jpg
https://m.media-amazon.com/images/I/71+XNAa7KgL.jpg
https://m.media-amazon.com/images/I/71gnxb1fWFL.jpg","3","Silver","64GB","WiFi","iPad"
"RA4JFB4S4UKLK","nisha raj","Satisfied.","Reviewed in India on 9 May 2023","As expected",5,"",0,,,,
"R2FQX0G89S52Y5","Shashikant","This iPad is super awesome 😎","Reviewed in India on 7 May 2023","Loved it!!!",5,"",0,,,,
"R1M7CBW7EJEKQ3","sai gopal","Awesome","Reviewed in India on 13 May 2023","Awesome",5,"",1,,,,
"R124G44CXGYVPC","Sidharth subhankar","Worth your money.","Reviewed in India on 12 May 2023","A new world.",5,"",0,,,,
"R16F4TIQQGOIA0","somnath chakraborty","As the name suggests APPLE so it's a wonderful product.1. Performance is mind-blowing(A13 chip).2. Game runs smoothly with high graphics.3. No support for Whatsapp you can use the web version.4. At the time of watching a video, when you rotate the screen It's not converting to full screen.5. It supports 1 gen apple pencil and is working pretty well.You can go for it if you buy it for gaming or studying(BUDGET IPAD)","Reviewed in India on 4 February 2023","First ever apple product",5,"https://m.media-amazon.com/images/I/71BvLQRncwL.jpg","3",,,,
"R25XR7IC9LCMT2","Abhilash Routray","Excellent product. If your budget is tight and you need an Apple device, this is the product for you. Its only WiFi model but no issues for me as I kept it at home where I’ve WiFi all the time. Battery life is amazing. Only around 8% charge is drained per Hollywood movie which is amazingMy only complain is the screen isnt Dolby Vision supported unlike my iPhone. So content of Netflix runs at HD only and doesn’t go beyond that. Obviously you wont notice a big difference and in that price point that is fair, still I wished for a Dolby Vision screen and Dolby audio support","Reviewed in India on 3 February 2023","Best iPad for Budget",5,"","5",,,,
"R3U799SI7GR8BR","Mussarat Shamim","Display can be more modified 09/10Battery 10/10Processor 10/10.Speaker 08/10Touch 10/10Fingerprint 09/10.Under this 30k budget this one is perfect gadget for you, you can do all your work on this.All the bestGo for it","Reviewed in India on 3 February 2023","SATISFIED BY PURCHASE VIA AMAZON",4,"https://m.media-amazon.com/images/I/612wlo6wbrL.jpg","9",,,,
"R36FK0VAY9UK9P","Bk gry","value for money. It makes your daily task easy. ideal for student, teacher, artist, gamer. it does all your needs perfectly.much better than android tablet , no lack and longer software update. I am using and dnt feel bored with this device. thank you","Reviewed in India on 24 March 2023","Best tablet better than android tab",5,"","5",,,,
